section,isGroup,group,itemCode,HSCode,itemLabel
Forestry,,1861,1623,,Other Indust Roundwd(C)
Forestry,,1861,1625,,Other Indust Roundwd Trd
Forestry,,1861,1626,,Other Indust Roundwd(NC)
Forestry,,1861,1627,,Wood Fuel(C)
Forestry,,1861,1628,,Wood Fuel(NC)
Forestry,,1861,1629,,Wood Fuel Trd
Forestry,,1861,1651,,Ind Rwd Wir (C)
Forestry,,1861,1657,,Ind Rwd Wir (NC) Tropica
Forestry,,1861,1670,,Ind Rwd Wir (NC) Other
Forestry,,1868,1601,,Sawlogs+Veneer Logs (C)
Forestry,,1868,1604,,Sawlogs+Veneer Logs (NC)
Forestry,,1872,1632,,Sawnwood (C)
Forestry,,1872,1633,,Sawnwood (NC)
Forestry,,1879,1654,,Mechanical Wood Pulp
Forestry,,1879,1655,,Semi-Chemical Wood Pulp
Forestry,,1879,1656,,Chemical Wood Pulp
Forestry,,1879,1668,,Other Fibre Pulp
Forestry,,1879,1669,,Recovered Paper
Forestry,,1864,1627,,Wood Fuel(C)
Forestry,,1864,1628,,Wood Fuel(NC)
Forestry,,1864,1629,,Wood Fuel Trd
Forestry,,1875,1654,,Mechanical Wood Pulp
Forestry,,1875,1655,,Semi-Chemical Wood Pulp
Forestry,,1875,1656,,Chemical Wood Pulp
Forestry,,1875,1667,,Dissolving Wood Pulp
Forestry,,1859,1655,,Semi-Chemical Wood Pulp
Forestry,,1859,1656,,Chemical Wood Pulp
Forestry,,1859,1667,,Dissolving Wood Pulp
Forestry,,1873,1634,,Veneer Sheets
Forestry,,1873,1640,,Plywood
Forestry,,1873,1646,,Particle Board
Forestry,,1873,1647,,Hardboard
Forestry,,1873,1648,,MDF
Forestry,,1873,1649,,"Fibreboard, Compressed"
Forestry,,1873,1650,,Insulating Board

