reporting-org;result;indicator
NL-KVK-41160054;DRR introduced to the community, DRR assessments completed and DRR plans made;Organized communities that developed their own disaster plans
NL-KVK-41160054;Improved access to water for humans and animals;People reached with preventive activities in water
NL-KVK-41160054;Sustainable animal health services are availbale through community animal health workers;People reached with preventive activities in livelihood
NL-KVK-41160054;Animal feed introduced to support milking and breeding animals in dry season;People reached with preventive activities in livelihood
NL-KVK-41160054;Animal feed introduced to support milking and breeding animals in dry season;People reached with preventive activities in natural resource management
NL-KVK-41160054;Create a multi stake holder process;MoU's signed with different stakeholders
NL-KVK-41160054;Map the needs of different stakeholders;Feasibility studies realized
NL-KVK-41160054;Tackle the diverse issues in an integrated approach with different stakeholders;Neighborhood plan(s) realized
NL-KVK-41160054;Create a decision making model in which all stakeholders are represented;Governance structure(s) in place
NL-KVK-41160054;Create a sustainable citypark that contributes to the community in the long run;Percent of amount given is an investment
NL-KVK-41160054;To create a multi stakeholders process with all interested and relevant parties;MoU's signed with different stakeholders
NL-KVK-41160054;Asses the current situation in Kisumu;Feasibility studies realized
NL-KVK-41160054;Realize plan for different projects in neighborhood with an integrated approach;Neighborhood plan(s) realized
NL-KVK-41160054;Create a sustainable projects by attracting private investment;Percent of amount given is an investment
NL-KVK-41160054;Create structures of governing that assures long term sustainability for different projects;Governance structure(s) in place
NL-KVK-41160054;Realize project proposal for housing project and for Urban Agriculture project;Project proposals written
NL-KVK-41160054;Create a multi stakeholders process;MoU's signed with different stakeholders
NL-KVK-41160054;Create a project plan with an integrated neighborhood approach;Neighborhood plan(s) realized
NL-KVK-41160054;Create a decision making model in which all parties are represented;Governance structure(s) in place
NL-KVK-41160054;Implement a sustainable model which will function without funds;Percent of amount given is an investment
NL-KVK-41160054;Organize partnerships building events;Events organized
NL-KVK-41160054;Apply calls and tenders;Project proposals written
NL-KVK-41160054;Assess progress of programs and developments of partners;Reports on progress to Head Quarter
NL-KVK-41160054;To increase the number of children who go to school by providing 5 jobs in the bakery;People reached with preventive activities in livelihood
NL-KVK-41160054;Improved income from livestock for target families in Tarin Kowt, Deh Rawod and Gizab District;Percent increase in income
NL-KVK-41160054;Feedbanks in Tarin Kowt and Deh Rawod District are self-sustaining;Cooperatives are self-supporting
NL-KVK-41160054;Increase in production of milk and meat of households in Tarin Kowt and Deh Rawod District;Percent increase in production volume
NL-KVK-41160054;Members of feedbanks and livestock shura have better access to animal feed during winter;People with access to agricultural inputs & services for better quality produ
NL-KVK-41160054;Improved health status of sheep, goats and cow in Tarin Kowt and Deh Rawod;Cattle with improved health status
NL-KVK-41160054;Training on feedbank management, accounting and bookkeeping for livestock shura and feedbanks;Cooperatives trained
NL-KVK-41160054;Chicken and milking goats are distributed to poor households;Livestock animals distributed to beneficiaries
NL-KVK-41160054;To train farmers in ecological agriculture methods;People reached with preventive activities in natural resource management
NL-KVK-41160054;Provide support for internally displaced persons and refugees;Disaster affected people provided with basic need in food
NL-KVK-41160054;Provide support for internally displaced persons and refugees;Disaster affected people provided with basic need in non-food items
NL-KVK-41160054;organization that is able to learn from past experiences;Organizations with increased organizational capacities
NL-KVK-41160054;Syrian refugee families maintain minimum standards for survival;Disaster affected people provided with basic need in food
NL-KVK-41160054;Syrian refugee families maintain minimum standards for survival;Disaster affected people provided with basic need in non-food items
NL-KVK-41160054;Organize conferences on the relation between fragility and farming as a business for small farmers;Lobby trajectories implemented
NL-KVK-41160054;Organize conferences on the relation between fragility and farming as a business for small farmers;Cooperation(s) with relevant stakeholders established
NL-KVK-41160054;capacity building;Organization(s) with increased capacity
NL-KVK-41160054;Project plan elaborated;Research(es) conducted
NL-KVK-41160054;To promote entrepreneurship among 3400 small producers and improve marketing of their own farm;Households with restored livelihoods
NL-KVK-41160054;To build capacity of 1600 small producers on integrating CMDRR and agribusiness;People reached with preventive activities in livelihood
NL-KVK-41160054;To build capacity of 1600 small producers on integrating CMDRR and agribusiness;Local organizations with increased capacity in (CM)DRR
NL-KVK-41160054;Communities implementing measures to reduce vulnerability;Organized communities that developed their own disaster plans
NL-KVK-41160054;Communities implementing measures to reduce vulnerability;People reached with preventive activities in livelihood
NL-KVK-41160054;Communities implementing measures to reduce vulnerability;People reached with preventive activities in climate adaptation
NL-KVK-41160054;People whose vulnerability has been reduced;People reached with preventive activities in natural resource management
NL-KVK-41160054;People whose vulnerability has been reduced;Households with restored livelihoods
NL-KVK-41160054;People whose vulnerability has been reduced;People reached with preventive activities in livelihood
NL-KVK-41160054;Increased food security and income of extreme poor;People reached with preventive activities in livelihood
NL-KVK-41160054;Support improvement of regional rural services;Learning activ. attended on rural/agri issues in sector by MFI(s)
NL-KVK-41160054;To train 100 farmers in best agricultural practices;People with an increased household income
NL-KVK-41160054;Affected households received essential household items;Disaster affected people provided with basic need in non-food items
NL-KVK-41160054;Affected households with sufficient inputs restart livelihood activities;Households with restored livelihoods
NL-KVK-41160054;Households have sufficient quantitative and qualitative food for daily requirements;Disaster affected people provided with basic need in food
NL-KVK-41160054;Partner organization implementing project applying SPHERE standards;Organizations involved in emergency plan of government/others (e.g. OCHA)
NL-KVK-41160054;Partner organizations conducting standard needs assessment within 48h;Organizations involved in emergency plan of government/others (e.g. OCHA)
NL-KVK-41160054;Partner org include vulnerable groups in design of projects;Action plans supported by government, private sector, other stakeholders
NL-KVK-41160054;Restoration of earthquake affected communities’ to normal living conditions.;Disaster affected people provided with basic need in clean water
NL-KVK-41160054;Restoration of earthquake affected communities’ to normal living conditions.;Disaster affected people provided with basic need in food
NL-KVK-41160054;Restoration of earthquake affected communities’ to normal living conditions.;Disaster affected people provided with basic need in non-food items
NL-KVK-41160054;Restoration of earthquake affected communities’ to normal living conditions.;Households with safe shelter (& other buildings)
NL-KVK-41160054;Installation of 10 hand pumps for water;Disaster affected people provided with basic need in clean water
NL-KVK-41160054;Construction of 80 latrines and bathing facilities for women;Disaster affected people provided with basic need in sanitation
NL-KVK-41160054;Provision of hygiene kits & hygiene promotion;Disaster affected people provided with basic need in sanitation
NL-KVK-41160054;Provision of hygiene kits & hygiene promotion;Disaster affected people provided with basic need in non-food items
NL-KVK-41160054;Provision of unconditional cash to vulnerable HH to ensure foodsecurity;Disaster affected people provided with basic need in food
NL-KVK-41160054;Provision of cash to vulnerable HH for starting up livelihood support activities;People reached with preventive activities in livelihood
NL-KVK-41160054;Increased access to health services;Disaster affected people provided with basic health (incl. psycho-social care
NL-KVK-41160054;Increased sales of pineapple production;Organization(s) receiving capacity building on (agri) product development
NL-KVK-41160054;Increased sales of pineapple production;Cooperatives created and functional
NL-KVK-41160054;Increased sales of pineapple production;People trained in business skills
NL-KVK-41160054;Increased sales of pineapple production;Percent increase in production volume
NL-KVK-41160054;Increased number of women participating in pineapple production;Organization(s) receiving capacity building on (agri) product development
NL-KVK-41160054;Increased number of women participating in pineapple production;Cooperatives created and functional
NL-KVK-41160054;Increased number of women participating in pineapple production;People trained in business skills
NL-KVK-41160054;Increased number of women participating in pineapple production;Percent increase in income
NL-KVK-41160054;Increase in farmer income through higher agricultural productivity;People reached with preventive activities in livelihood
NL-KVK-41160054;Increased access to water for farmer groups;Households with restored water and sanitation faclities
NL-KVK-41160054;CMDRR is integrated into local government's livelihoods policies;Lobby trajectories to influence policy of relevant actors
NL-KVK-41160054;Women's cooperatives are established and trained in post-harvest loss, value addition and marketing;Cooperatives created and functional
NL-KVK-41160054;Women's cooperatives are established and trained in post-harvest loss, value addition and marketing;Cooperatives trained
NL-KVK-41160054;Rural women in Kunduz Province have improved their livelihood;People with an increased household income
NL-KVK-41160054;Rural women in Kunduz Province have improved their livelihood;Direct target population that benefitted from the project
NL-KVK-41160054;Rural women in Kunduz Province have improved their livelihood;Indirect target population that benefitted from the project
NL-KVK-41160054;Capacities among rural women are enhanced in managing farm-based enterprises;People trained in business skills
NL-KVK-41160054;Market competitiveness is improved among farm-based value chains employing rural women;Percent of persons in the committee or cooperative is women
NL-KVK-41160054;Market competitiveness is improved among farm-based value chains employing rural women;Decrease in post-harvest loss volume
NL-KVK-41160054;Improved income situation of households in Aliabad and Imam Saheb District;Percent increase in income
NL-KVK-41160054;Improved income situation of households in Aliabad and Imam Saheb District;Direct target population that benefitted from the project
NL-KVK-41160054;Improved income situation of households in Aliabad and Imam Saheb District;Indirect target population that benefitted from the project
NL-KVK-41160054;Local farmers in Aliabad and Imam Saheb District are trained in marketing skills;People trained in business skills
NL-KVK-41160054;Women are able to cultivate good quality vegetables in kitchen gardens;People with access to agricultural inputs & services for better quality produ
NL-KVK-41160054;Local storage facilities have been established;Warehouse facilities constructed and properly managed
NL-KVK-41160054;Agro-processing centers are established;Centers set up for the processing of (raw) agricultural products
NL-KVK-41160054;Cooperatives will be established and are strengthened;Cooperatives created and functional
NL-KVK-41160054;Cooperatives will be established and are strengthened;Cooperatives trained
NL-KVK-41160054;Cooperatives will be established and are strengthened;Cooperatives are self-supporting
NL-KVK-41160054;Local farmers in Aliabad and Imam Saheb District improved their agricultural production;People with access to agricultural inputs & services for better quality produ
NL-KVK-41160054;Local farmers in Aliabad and Imam Saheb District improved their agricultural production;People trained in agricultural production
NL-KVK-41160054;Crops and livestock farmers have improved their farming knowledge;People trained in livestock management
NL-KVK-41160054;Crops and livestock farmers have improved their farming knowledge;People trained in agricultural production
NL-KVK-41160054;Productivity of livestock production and crops has increased;Percent increase in production volume
NL-KVK-41160054;Women are capacitated in food preservation for both home use and for sale;Percent of persons in the committee or cooperative is women
NL-KVK-41160054;Women are capacitated in food preservation for both home use and for sale;People trained in business skills
NL-KVK-41160054;Farmers have access to certified and improved varieties of seeds;People with access to agricultural inputs & services for better quality produ
NL-KVK-41160054;Government staff is trained on technical aspects;Cooperation(s) with relevant stakeholders established
NL-KVK-41160054;Livestock and crop diseases have decreased;Decrease in post-harvest loss volume
NL-KVK-41160054;Nursery sites have been established and are linked to nursery growers associations;Sites with improved (water) infrastructure
NL-KVK-41160054;Nursery sites have been established and are linked to nursery growers associations;Trees on agricultural land rehabilitated
NL-KVK-41160054;The agricultural productivity, food security and income levels of rural households has improved;Direct target population that benefitted from the project
NL-KVK-41160054;Population that benefitted from the project;Direct target population that benefitted from the project
NL-KVK-41160054;Population that benefitted from the project;Indirect target population that benefitted from the project
NL-KVK-41160054;Increased income for small scale farmers;Percent increase in income
NL-KVK-41160054;Increased level of organisation of farmers and fishermen;Cooperatives created and functional
NL-KVK-41160054;Cooperatives trained;Cooperatives created and functional
NL-KVK-41160054;People trained in agricultural production;People trained in agricultural production
NL-KVK-41160054;People with access to agricultural inputs and services for better quality products;People with access to agricultural inputs & services for better quality produ
NL-KVK-41160054;increased production;Percent increase in income
NL-KVK-41160054;increased production;People with an increased household income
NL-KVK-41160054;number of lives saved;Disaster affected people provided with basic need in food
NL-KVK-41160054;number of lives saved;Disaster affected people provided with basic need in non-food items
NL-KVK-41160054;Develop capacity of civil society organisations to understand climate change and disasters;Local organizations with increased capacity in (CM)DRR
NL-KVK-41160054;Facilitate policy dialogues between CSOs and government on climate change;Lobby trajectories to influence policy of relevant actors
NL-KVK-41160054;Conduct studies to influence debate on climate smart agriculture;Knowledge Development trajectories
NL-KVK-41160054;Facilitate farmer-privat sector cooperation on risk management tools;Knowledge Development trajectories
NL-KVK-41160054;Cyclone affected people could restore their lives and livelihoods;Disaster affected people provided with basic need in shelter
NL-KVK-41160054;Cyclone affected people could restore their lives and livelihoods;Disaster affected people provided with basic need in food
NL-KVK-41160054;Cyclone affected people could restore their lives and livelihoods;Disaster affected people provided with basic need in non-food items
NL-KVK-41160054;Cyclone affected people could restore their lives and livelihoods;Households with restored livelihoods
NL-KVK-41160054;Construction of sub-surface dam;People reached with preventive activities in water
NL-KVK-41160054;Construction of sub-surface dam;People reached with preventive activities in livelihood
NL-KVK-41160054;Capacity building of partner organization;Local organizations with increased capacity in (CM)DRR
NL-KVK-41160054;Increased community disaster resilience in 5 areas in Karonga District by end 2014;Organized communities that developed their own disaster plans
NL-KVK-41160054;Increased community disaster resilience in 5 areas in Karonga District by end 2014;People reached with preventive activities in livelihood
NL-KVK-41160054;Increased community disaster resilience in 5 areas in Karonga District by end 2014;Local organizations with increased capacity in (CM)DRR
NL-KVK-41160054;Communities have improved capacity in risk reduction and early warning measures;Communities with emergency preparedness plans (incl. early warning)
NL-KVK-41160054;Communities have improved capacity in risk reduction and early warning measures;Knowledge Development trajectories
NL-KVK-41160054;Communities have increased access to agricultural inputs;People reached with preventive activities in livelihood
NL-KVK-41160054;Communities diversified and strenghtened their livelihoods;Households with restored livelihoods
NL-KVK-41160054;Communities have improved social cohesion and share available resources;Organized communities that developed their own disaster plans
NL-KVK-41160054;Food assistance is provided to Haiyan affected families in Eastern Samar;Disaster affected people provided with basic need in food
NL-KVK-41160054;To save and protect livelihoods of drought affected households in Nsanje district in Malawi;Disaster affected people provided with basic need in food
NL-KVK-41160054;To save and protect livelihoods of drought affected households in Nsanje district in Malawi;Households with restored livelihoods
NL-KVK-41160054;To save and protect livelihoods of drought affected households in Nsanje district in Malawi;Local organizations with increased capacity in (CM)DRR
NL-KVK-41160054;Create famers cooperatives;Cooperatives created and functional
NL-KVK-41160054;Organize partner building events;Events organized
NL-KVK-41160054;Assess progress of programs and projects;Reports on progress to Head Quarter
NL-KVK-41160054;Farmers in Sanda Loko and Sella Limba chiefdoms will be organized in cooperatives;Cooperatives created and functional
NL-KVK-41160054;Farmers in Sanda Loko and Sella Limba chiefdoms will be organized in cooperatives;Cooperatives trained
NL-KVK-41160054;Farmers in Sanda Loko and Sella Limba chiefdoms will be organized in cooperatives;Cooperatives are self-supporting
NL-KVK-41160054;Farmers in Sanda Loko and Sella Limba chiefdoms have increased their household income;People with an increased household income
NL-KVK-41160054;Farmers in Sanda Loko and Sella Limba chiefdoms have increased their household income;Direct target population that benefitted from the project
NL-KVK-41160054;Farmers in Sanda Loko and Sella Limba chiefdoms have increased their household income;Indirect target population that benefitted from the project
NL-KVK-41160054;Farmers have increased their production output and reduced post-harvest losses;People with access to agricultural inputs & services for better quality produ
NL-KVK-41160054;Farmers have increased their production output and reduced post-harvest losses;People trained in agricultural production
NL-KVK-41160054;Farmers have increased their production output and reduced post-harvest losses;Decrease in post-harvest loss volume
NL-KVK-41160054;A centre is constructed for the processing of agricultural produce;Centers set up for the processing of (raw) agricultural products
NL-KVK-41160054;Grain stores have been constructed for the storage of various agricultural crops;Warehouse facilities constructed and properly managed
NL-KVK-41160054;Conduct an assessment of the fresh milk supply chain close to Kabul;Research(es) conducted
NL-KVK-41160054;Delivery of food package;Disaster affected people provided with basic need in food
NL-KVK-41160054;Delivery of hygiene kits and health services;Disaster affected people provided with basic health (incl. psycho-social care
NL-KVK-41160054;Help with restoration of agricultural livelihoods;Households with restored livelihoods
NL-KVK-41160054;Safe transport to school and distribution of school materials;Number of vulnerable children receiving education per year
NL-KVK-41160054;To train 60 students in organic farming;People reached with preventive activities in natural resource management
NL-KVK-41160054;Affected families have access to personal hygiene materials;Disaster affected people provided with basic health (incl. psycho-social care
NL-KVK-41160054;Affected families have access to kitchen and cooking supplies;Disaster affected people provided with basic need in non-food items
NL-KVK-41160054;Affected families have access to first aid and medical services;Disaster affected people provided with basic health (incl. psycho-social care
NL-KVK-41160054;Affected families have sufficient food and water to meet daily needs;Disaster affected people provided with basic need in food
NL-KVK-41160054;provide 4000 families with non-food (household) items;Disaster affected people provided with basic need in non-food items
NL-KVK-41160054;provide 4000 families with basic food items;Disaster affected people provided with basic need in food
NL-KVK-41160054;Basic food needs of affected families are met;Disaster affected people provided with basic need in food
NL-KVK-41160054;Affected people are provided with personal hygiene packages;Disaster affected people provided with basic need in sanitation
NL-KVK-41160054;Livestock for livelihoods of agricultural households is preserved;Households with restored livelihoods
NL-KVK-41160054;Affected families receive food packages;Disaster affected people provided with basic need in food
NL-KVK-41160054;Affected people receive personal hygiene packages;Disaster affected people provided with basic need in sanitation
NL-KVK-41160054;Affected people receive medication;Disaster affected people provided with basic health (incl. psycho-social care
NL-KVK-41160054;Affected families are able to return home;Households with safe shelter (& other buildings)
NL-KVK-41160054;explore possibility to setup programme in Myanmar;People reached with preventive activities in water
NL-KVK-41160054;explore possibility to setup programme in Myanmar;People reached with preventive activities in livelihood
NL-KVK-41160054;explore possibility to setup programme in Myanmar;Disaster affected people provided with basic need in clean water
NL-KVK-41160054;Non-food item packages distributed;Disaster affected people provided with basic need in non-food items
NL-KVK-41160054;young people with education or a job perspective;Youngsters with new jobs or own employment
NL-KVK-41160054;5 projects made sustainable or advise to exit if not feasible;Organizations with increased capacities
NL-KVK-41160054;a legal structure;Governance structure(s) in place
NL-KVK-41160054;16 groups of women trained in income generation;People with an increased household income
NL-KVK-41160054;16 groups of women trained in income generation;Women with strengthened leadership skills
NL-KVK-41160054;Training on disaster risk reduction, action planning and implementation;Organized communities that developed their own disaster plans
NL-KVK-41160054;Increased capacity to address drought hazard;People reached with preventive activities in water
NL-KVK-41160054;Increased capacity to address drought hazard;People reached with preventive activities in livelihood
NL-KVK-41160054;Increased capacity to address drought hazard;People reached with preventive activities in natural resource management
NL-KVK-41160054;Relief distribution to 1,500 flood affected families;Disaster affected people provided with basic need in food
NL-KVK-41160054;Relief distribution to 1,500 flood affected families;Disaster affected people provided with basic need in non-food items
NL-KVK-41160054;Relief for flood affacted families in Sirajganj;Disaster affected people provided with basic need in clean water
NL-KVK-41160054;Relief for flood affacted families in Sirajganj;Disaster affected people provided with basic need in food
NL-KVK-41160054;Relief for flood affacted families in Sirajganj;Disaster affected people provided with basic need in non-food items
NL-KVK-41160054;1500 households in 2 communities have built their disaster resilience;People reached with preventive activities in climate adaptation
NL-KVK-41160054;Appraisal of the suitability of Bayelsa State, Nigeria, as a pilot initiative location;Civil Society Organizations have the capacity to support local communities
NL-KVK-41160054;Identification of a range of options for a pilot initiative in Bayelsa State, Nigeria;Local communities participate in structured dialogue and negotiations
NL-KVK-41160054;to design and secure the funding a full Feasibility Study;Civil Society Organizations have the capacity to support local communities
NL-KVK-41160054;800 vulnerable families receive foodpack to last for 1 month;Disaster affected people provided with basic need in food
NL-KVK-41160054;12 groups of women trained in income generation;People with an increased household income
NL-KVK-41160054;12 groups of women trained in income generation;Women with strengthened leadership skills
NL-KVK-41160054;85 children receive quality child care;Vulnerable or exploited children getting care and protection
NL-KVK-41160054;98 women are better enabled to earn a living;People with an increased household income
NL-KVK-41160054;Community is more involved in childcare and women empowerment;Women and men trained on human rights and/or local laws
NL-KVK-41160054;Livelihood support provided to affected households;Households with restored livelihoods
NL-KVK-41160054;Distribution of shelter & hygiene kits;Disaster affected people provided with basic need in sanitation
NL-KVK-41160054;Distribution of shelter & hygiene kits;Disaster affected people provided with basic need in shelter
NL-KVK-41160054;Distribution of food;Disaster affected people provided with basic need in food
NL-KVK-41160054;Distribution of food to flood affected people;Disaster affected people provided with basic need in food
NL-KVK-41160054;Distribution of hygiene kits and water treatment training;Disaster affected people provided with basic need in clean water
NL-KVK-41160054;Distribution of hygiene kits and water treatment training;Disaster affected people provided with basic need in sanitation
NL-KVK-41160054;Train local youth groups so that they are empowered and capable of running training sessions;Organizations with increased capacities
NL-KVK-41160054;Train youth to become capable of fulfilling income generating activities;Youngsters with increased capacity on entrepreneurship
NL-KVK-41160054;Train youth to become capable of fulfilling income generating activities;Participants have received vocational training and or/ social training
NL-KVK-41160054;Train youth to become capable of fulfilling income generating activities;Entrepreneur cooperatives formed
NL-KVK-41160054;Assure that micro entrepreneurs can run sustainable enterprises;Percent of participants has paid back their loan on time
NL-KVK-41160054;Organize activities to raise awareness on gender issues;Events organized
NL-KVK-41160054;Give training to to strengthen capacities of participants on entrepreneurship and business;Participants have received vocational training and or/ social training
NL-KVK-41160054;Create sustainable micro enterprises that work to improve their environment;Jobs created in sanitation/wash chain
NL-KVK-41160054;Create sustainable micro enterprises that work to improve their environment;Percent of loans is refunded
NL-KVK-41160054;Create sustainable micro enterprises that work to improve their environment;Entrepreneur cooperatives formed
NL-KVK-41160054;Give training in order to create awareness on the importance of living in a clean city;Stakeholders with increased capacity on sanitation and hygiene
NL-KVK-41160054;Form environmental committee;Network(s) formed
NL-KVK-41160054;Organize large events to improve knowledge on hygiene and sanitation;Events organized
NL-KVK-41160054;A cleaner living environment for inhabitants of Danlí;Households reached with new or improved sanitation facilities
NL-KVK-41160054;Farmers in Gizab, Terin Kowt and Dehrawood are provided with agricultural inputs;People with access to agricultural inputs & services for better quality produ
NL-KVK-41160054;Beneficiaries from the agricultural and livestock component increased their household income;People with an increased household income
NL-KVK-41160054;Lambs and chicken are distributed among rural households in Gizab, Terin Kowt and Dehrawood;Livestock animals distributed to beneficiaries
NL-KVK-41160054;Cattle that is owned by the farmers in Gizab, Terin Kowt and Dehrawood is vaccinated;Cattle with improved health status
NL-KVK-41160054;Feedbanks are created for the storage of animal feed in winter and livestock shuras are trained;Cooperatives created and functional
NL-KVK-41160054;Feedbanks are created for the storage of animal feed in winter and livestock shuras are trained;Cooperatives trained
NL-KVK-41160054;Feedbanks are created for the storage of animal feed in winter and livestock shuras are trained;Cooperatives are self-supporting
NL-KVK-41160054;Feedbanks are created for the storage of animal feed in winter and livestock shuras are trained;Warehouse facilities constructed and properly managed
NL-KVK-41160054;Members of the feedbanks and farmers who received cattle were trained in livestock management;People trained in livestock management
NL-KVK-41160054;Meetings among communities and local stakeholders were organised;Cooperation(s) with relevant stakeholders established
NL-KVK-41160054;Tree nurseries and orchards are established for the cultivation of fruit and vegetables;Sites with improved (water) infrastructure
NL-KVK-41160054;Community committees trained in Disaster Risk Reduction;Local organizations with increased capacity in (CM)DRR
NL-KVK-41160054;Communities having DRR plans;Organized communities that developed their own disaster plans
NL-KVK-41160054;Capacity development of health staff, community health workers and community shuras;Healthcare staff members trained
NL-KVK-41160054;Increase awareness of nutrition issues at community level;People receiving improved quality care
NL-KVK-41160054;Partner organisations trained in Disaster Preparedness & Response;Local organizations trained in emergency response (by Cordaid)
NL-KVK-41160054;Partner organisations trained in Disaster Preparedness & Response;Organizations involved in emergency plan of government/others (e.g. OCHA)
NL-KVK-41160054;Flood affected households have access to shelter & basic household materials;Households with safe shelter (& other buildings)
NL-KVK-41160054;Flood affected households have access to safe water & improved sanitation;Disaster affected people provided with basic need in clean water
NL-KVK-41160054;Flood affected households have increased food security;Disaster affected people provided with basic need in food
NL-KVK-41160054;70 farmers are trained in good agriculture practises and disaster risk reduction;People reached with preventive activities in livelihood
NL-KVK-41160054;Service points for improved seeds (rice and potatoes);Market places developed or constructed
NL-KVK-41160054;Cooperatives for improved seeds production;Cooperatives created and functional
NL-KVK-41160054;Farmers trained and certified in the production of improved seeds;People trained in agricultural production
NL-KVK-41160054;Honey sector dialogue and coordination well established;Organized communities that developed their own disaster plans
NL-KVK-41160054;Number of lifes saved with dignity;Disaster affected people provided with basic need in food
NL-KVK-41160054;Number of lifes saved with dignity;Disaster affected people provided with basic need in non-food items
NL-KVK-41160054;5 communities committes trained in DRR;Households with restored livelihoods
NL-KVK-41160054;1 partner organisation in organisation development proces;Organized communities that developed their own disaster plans
NL-KVK-41160054;1 partner organisation in organisation development proces;Local organizations with increased capacity in (CM)DRR
NL-KVK-41160054;1 partner organisation in organisation development proces;Lobby trajectories to influence policy of relevant actors
NL-KVK-41160054;17  groups of  women trained in income generation;People with an increased household income
NL-KVK-41160054;Farmer Based Organizations are established in Maforki Chiefdom;Cooperatives created and functional
NL-KVK-41160054;Farmer Based Organizations are established in Maforki Chiefdom;Percent of persons in the committee or cooperative is women
NL-KVK-41160054;Small-scale cassava farmers have been able to increase their production output;People with an increased household income
NL-KVK-41160054;Small-scale cassava farmers have been able to increase their production output;Percent increase in income
NL-KVK-41160054;Small-scale cassava farmers have been able to increase their production output;People trained in business skills
NL-KVK-41160054;Small-scale cassava farmers have been able to increase their production output;People with access to agricultural inputs & services for better quality produ
NL-KVK-41160054;Small-scale cassava farmers have been able to increase their production output;Direct target population that benefitted from the project
NL-KVK-41160054;Small-scale cassava farmers have been able to increase their production output;Indirect target population that benefitted from the project
NL-KVK-41160054;Post-harvest losses of cassava production are reduced;Decrease in post-harvest loss volume
NL-KVK-41160054;CIP conducts trainings to strengthen the established Farmer Based Organizations;Trainings organized, i.e. for target population
NL-KVK-41160054;A centre will be established to store agricultural products and process the cassava;Warehouse facilities constructed and properly managed
NL-KVK-41160054;Support and capacity building partner organization;Health care institutes with increased quality services
NL-KVK-41160054;Health care for vulnerable malnurished childeren;Vulnerable or exploited children getting care and protection
NL-KVK-41160054;strengthening cooperative of nutmeg farmers;Cooperatives created and functional
NL-KVK-41160054;Efficient and sustainable dairy production;People reached with preventive activities in climate adaptation
NL-KVK-41160054;Access to the dairy market by local and small farmers;People reached with preventive activities in natural resource management
NL-KVK-41160054;Health improvement for rural families;People receiving improved quality care
NL-KVK-41160054;child care in 6 slums of Bangalore;Number of vulnerable children receiving education per year
NL-KVK-41160054;Women empowerment through skills training, workshops and counselling;Women's organizations & networks with increased capacity in participation
NL-KVK-41160054;Women empowerment through skills training, workshops and counselling;Women with strengthened leadership skills
NL-KVK-41160054;Increase agricultural production by introducing new techniques and methods;People with an increased household income
NL-KVK-41160054;Promote development of the cassava value chain at the community level;Centers set up for the processing of (raw) agricultural products
NL-KVK-41160054;Improve the position of women within the agricultural sector;Percent of persons in the committee or cooperative is women
NL-KVK-41160054;Community Members Covered by Risk Plans;Communities with emergency preparedness plans (incl. early warning)
NL-KVK-41160054;Improve Community Managed Disaster Risk Reduction;Organized communities that developed their own disaster plans
NL-KVK-41160054;Sustainable economic development and poverty reduction strengthening community resilience;People reached with preventive activities in water
NL-KVK-41160054;Sustainable economic development and poverty reduction strengthening community resilience;People reached with preventive activities in livelihood
NL-KVK-41160054;Sustainable economic development and poverty reduction strengthening community resilience;People reached with preventive activities in natural resource management
NL-KVK-41160054;Sustainable economic development and poverty reduction strengthening community resilience;People reached with preventive activities in climate adaptation
NL-KVK-41160054;Sustainable economic development and poverty reduction strengthening community resilience;Communities with emergency preparedness plans (incl. early warning)
NL-KVK-41160054;Strengthening of civil society/CBOs and community;Local organizations with increased capacity in (CM)DRR
NL-KVK-41160054;Expansion of the agri loan portfolio;Percent increase in agri loan portfolio of MFI
NL-KVK-41160054;Providing farmers with microfinance services;Agri microfinance clients provided with loan
NL-KVK-41160054;Strengthening community resilience;People reached with preventive activities in water
NL-KVK-41160054;Strengthening community resilience;People reached with preventive activities in livelihood
NL-KVK-41160054;Strengthening community resilience;People reached with preventive activities in natural resource management
NL-KVK-41160054;Strengthening community resilience;People reached with preventive activities in climate adaptation
NL-KVK-41160054;Strengthening community resilience;People reached with prevention activities in shelter
NL-KVK-41160054;Strengthening community resilience;Communities with emergency preparedness plans (incl. early warning)
NL-KVK-41160054;Strengthening civil society;Organized communities that developed their own disaster plans
NL-KVK-41160054;Strengthening civil society;Local organizations with increased capacity in (CM)DRR
NL-KVK-41160054;Strengthening civil society;Knowledge Development trajectories
NL-KVK-41160054;Policy influencing;Lobby trajectories to influence policy of relevant actors
NL-KVK-41160054;Policy influencing;Knowledge Development trajectories
NL-KVK-41160054;Improve community resilience to disasters;Organized communities that developed their own disaster plans
NL-KVK-41160054;Improve community resilience to disasters;People reached with preventive activities in water
NL-KVK-41160054;Improve community resilience to disasters;People reached with preventive activities in livelihood
NL-KVK-41160054;Improve community resilience to disasters;People reached with preventive activities in natural resource management
NL-KVK-41160054;Improve community resilience to disasters;People reached with preventive activities in climate adaptation
NL-KVK-41160054;Improve community resilience to disasters;Communities with emergency preparedness plans (incl. early warning)
NL-KVK-41160054;Policy influencing and lobby for more government resources for DRR/CCA/EMR;Lobby trajectories to influence policy of relevant actors
NL-KVK-41160054;Communities are more resilient to drought;Organized communities that developed their own disaster plans
NL-KVK-41160054;Communities are more resilient to drought;People reached with preventive activities in water
